Ref,race,gender
Casey,?,?
T Brown,black,male
N Buchert,white,male
M Callahan,white,male
P Fraher,white,male
D Crawford,black,male
T Maddox,black,male
B Kennedy,black,male
K Lane,black,male
B Adams,black,male
D Richardson,black,male
B Barnaky,white,male
S Wright,black,male
K Fitzgerald,white,male
D Stafford,black,male
D Taylor,black,male
M Ayotte,white,male
D Collins,black,male
J Capers,black,male
T Ford,white,male
J Tiven,white,male
C Washington,black,male
L Richardson,black,male
K Mauer,white,male
T Washington,black,male
S Corbin,black,male
J VanDuyne,white,male
B Forte,white,male
J Orr,white,male
M Davis,black,male
E Lewis,black,male
B Spooner,white,male
J Goble,white,male
K Cutler,black,male
G Zielinski,white,male
L Wood,black,male
R Mott,black,male
J Phillips,white,male
M McCutchen,white,male
A Smith,white,male
L Holtkamp,white,female
T Brothers,black,male
C Kirkland,black,male
E Dalen,white,male
S Wall,white,male
M Kogut,white,male
Z Zarba,white,male
M Smith,black,male
E Malloy,white,male
B Taylor,white,male
G Petraitis,white,male
J Williams,black,male
C Blair,black,male
M Boland,white,male
S Foster,white,male
R Garretson,white,male
B Nansel,white,male
S Anderson,black,male
M Lindsay,white,male
H Workman,black,male
S Twardoski,white,male
K Scott,white,male
M Ervin,white,male
J Goldenberg,white,male
P Ransom,black,male
V Voyard-Tadal,black,male
D Guthrie,white,male
J Sterling,black,male
J DeRosa,white,male
R Acosta,hispanic,male
J Van Duyne,white,male
B Adair,mixed,male
R Richardson,black,male
M Myers,black,male
A Moyer-Gleich,white,female
N Sago,white,female
M Dagher,middleeastern,male
J Butler,black,male
E Scott,asian,male
N Green,black,male
S Jelks,black,female
J Schroeder,white,female
J Conley,black,male
A Nagy,white,male
S Mehta,indian,male
D Mosher,white,female
B Schwab,white,male
R Hussey,black,male
D Scott,black,female
M Kallio,white,male
T Ricks,white,male
C Flores,white,female
J Ralls,black,male
J Reneau,white,female
B Burns,hispanic,female
B Haskill,white,male
T Mirkovich,white,male
P O'Connell,white,male
C Aubry,white,female
S Mitchell,black,female
I Barnett,asian,male
